META,version=1,fixture_root=../../../tools/direct-logic-dregg-benchmark/generated,profile=release,warmups=5,prove_samples=25,verify_samples=75,pair_order=alternating,proof_encoding=postcard,release_prover_self_verify=false,field=babybear,ext_degree=4,fri_log_blowup=6,fri_log_final_poly_len=0,fri_max_log_arity=3,fri_queries=19,fri_query_pow_bits=16,trace_rows=1
TAMPER,admission,source,public_input_0,verifier_rejected
TAMPER,admission,optimized,public_input_0,verifier_rejected
WORKLOAD,upgrade,source,4,21,4,33,28,17,4978,78349d6d32967532081347c0425e1314e217e6856816b84cc91d57eef86efdad,10431,degree_bits=0
WORKLOAD,upgrade,optimized,4,15,4,23,18,11,3427,256630f65ba021f12fdd90ab78416623f68044523c0bea5be8009d5d1312cfa8,10081,degree_bits=0
TAMPER,clearance,source,public_input_0,verifier_rejected
TAMPER,clearance,optimized,public_input_0,verifier_rejected
SAMPLE,clearance,source,prove,0,170193916
SAMPLE,clearance,optimized,prove,0,3201917
SAMPLE,clearance,optimized,prove,1,24878750
SAMPLE,clearance,source,prove,1,124156500
SAMPLE,clearance,source,prove,2,228338792
SAMPLE,clearance,optimized,prove,2,7269042
SAMPLE,clearance,optimized,prove,3,4563667
SAMPLE,clearance,source,prove,3,195684625
SAMPLE,clearance,source,prove,4,275930917
SAMPLE,clearance,optimized,prove,4,100239375
SAMPLE,clearance,optimized,prove,5,87420500
SAMPLE,clearance,source,prove,5,269678250
SAMPLE,clearance,source,prove,6,143478375
SAMPLE,clearance,optimized,prove,6,3640333
SAMPLE,clearance,optimized,prove,7,4104917
SAMPLE,clearance,source,prove,7,167660042
SAMPLE,clearance,source,prove,8,160644750
SAMPLE,clearance,optimized,prove,8,2639542
SAMPLE,clearance,optimized,prove,9,6228833
SAMPLE,clearance,source,prove,9,300893875
SAMPLE,clearance,source,prove,10,655479208
SAMPLE,clearance,optimized,prove,10,11303750
SAMPLE,clearance,optimized,prove,11,2989917
SAMPLE,clearance,source,prove,11,195716167
SAMPLE,clearance,source,prove,12,188706125
SAMPLE,clearance,optimized,prove,12,7002459
SAMPLE,clearance,optimized,prove,13,16534417
SAMPLE,clearance,source,prove,13,230190959
SAMPLE,clearance,source,prove,14,378525083
SAMPLE,clearance,optimized,prove,14,18244166
SAMPLE,clearance,optimized,prove,15,17580375
SAMPLE,clearance,source,prove,15,386462875
SAMPLE,clearance,source,prove,16,325861750
SAMPLE,clearance,optimized,prove,16,2680125
SAMPLE,clearance,optimized,prove,17,2682041
SAMPLE,clearance,source,prove,17,330940125
SAMPLE,clearance,source,prove,18,348464875
SAMPLE,clearance,optimized,prove,18,6605916
SAMPLE,clearance,optimized,prove,19,5565500
SAMPLE,clearance,source,prove,19,217857083
SAMPLE,clearance,source,prove,20,237161958
SAMPLE,clearance,optimized,prove,20,13848041
SAMPLE,clearance,optimized,prove,21,42292458
SAMPLE,clearance,source,prove,21,252930250
SAMPLE,clearance,source,prove,22,171074208
SAMPLE,clearance,optimized,prove,22,53141041
SAMPLE,clearance,optimized,prove,23,9948542
SAMPLE,clearance,source,prove,23,290763375
SAMPLE,clearance,source,prove,24,339028292
SAMPLE,clearance,optimized,prove,24,29443042
SAMPLE,clearance,source,verify,0,464542
SAMPLE,clearance,optimized,verify,0,357000
SAMPLE,clearance,optimized,verify,1,337708
SAMPLE,clearance,source,verify,1,367417
SAMPLE,clearance,source,verify,2,1211166
SAMPLE,clearance,optimized,verify,2,419125
SAMPLE,clearance,optimized,verify,3,366833
SAMPLE,clearance,source,verify,3,445250
SAMPLE,clearance,source,verify,4,512125
SAMPLE,clearance,optimized,verify,4,463291
SAMPLE,clearance,optimized,verify,5,459292
SAMPLE,clearance,source,verify,5,846833
SAMPLE,clearance,source,verify,6,661375
SAMPLE,clearance,optimized,verify,6,748000
SAMPLE,clearance,optimized,verify,7,742625
SAMPLE,clearance,source,verify,7,807625
SAMPLE,clearance,source,verify,8,802042
SAMPLE,clearance,optimized,verify,8,733875
SAMPLE,clearance,optimized,verify,9,828208
SAMPLE,clearance,source,verify,9,472542
SAMPLE,clearance,source,verify,10,681833
SAMPLE,clearance,optimized,verify,10,454375
SAMPLE,clearance,optimized,verify,11,527083
SAMPLE,clearance,source,verify,11,901000
SAMPLE,clearance,source,verify,12,868500
SAMPLE,clearance,optimized,verify,12,847333
SAMPLE,clearance,optimized,verify,13,751791
SAMPLE,clearance,source,verify,13,872833
SAMPLE,clearance,source,verify,14,834125
SAMPLE,clearance,optimized,verify,14,776750
SAMPLE,clearance,optimized,verify,15,742208
SAMPLE,clearance,source,verify,15,865334
SAMPLE,clearance,source,verify,16,489542
SAMPLE,clearance,optimized,verify,16,788292
SAMPLE,clearance,optimized,verify,17,756208
SAMPLE,clearance,source,verify,17,921542
SAMPLE,clearance,source,verify,18,805542
SAMPLE,clearance,optimized,verify,18,729083
SAMPLE,clearance,optimized,verify,19,720458
SAMPLE,clearance,source,verify,19,1311333
SAMPLE,clearance,source,verify,20,421542
SAMPLE,clearance,optimized,verify,20,354000
SAMPLE,clearance,optimized,verify,21,335083
SAMPLE,clearance,source,verify,21,366709
SAMPLE,clearance,source,verify,22,362875
SAMPLE,clearance,optimized,verify,22,331542
SAMPLE,clearance,optimized,verify,23,329583
SAMPLE,clearance,source,verify,23,359458
SAMPLE,clearance,source,verify,24,359125
SAMPLE,clearance,optimized,verify,24,328000
SAMPLE,clearance,optimized,verify,25,327584
SAMPLE,clearance,source,verify,25,62017333
SAMPLE,clearance,source,verify,26,391584
SAMPLE,clearance,optimized,verify,26,343125
SAMPLE,clearance,optimized,verify,27,331667
SAMPLE,clearance,source,verify,27,363834
SAMPLE,clearance,source,verify,28,361417
SAMPLE,clearance,optimized,verify,28,331166
SAMPLE,clearance,optimized,verify,29,328833
SAMPLE,clearance,source,verify,29,360792
SAMPLE,clearance,source,verify,30,359750
SAMPLE,clearance,optimized,verify,30,328459
SAMPLE,clearance,optimized,verify,31,327084
SAMPLE,clearance,source,verify,31,358333
SAMPLE,clearance,source,verify,32,359708
SAMPLE,clearance,optimized,verify,32,1174583
SAMPLE,clearance,optimized,verify,33,349459
SAMPLE,clearance,source,verify,33,369625
SAMPLE,clearance,source,verify,34,1546500
SAMPLE,clearance,optimized,verify,34,3456917
SAMPLE,clearance,optimized,verify,35,4451500
SAMPLE,clearance,source,verify,35,834583
SAMPLE,clearance,source,verify,36,388250
SAMPLE,clearance,optimized,verify,36,343666
SAMPLE,clearance,optimized,verify,37,334417
SAMPLE,clearance,source,verify,37,364917
SAMPLE,clearance,source,verify,38,360875
SAMPLE,clearance,optimized,verify,38,14542458
SAMPLE,clearance,optimized,verify,39,7272458
SAMPLE,clearance,source,verify,39,875542
SAMPLE,clearance,source,verify,40,29486583
SAMPLE,clearance,optimized,verify,40,365083
SAMPLE,clearance,optimized,verify,41,337167
SAMPLE,clearance,source,verify,41,14137125
SAMPLE,clearance,source,verify,42,10554000
SAMPLE,clearance,optimized,verify,42,360500
SAMPLE,clearance,optimized,verify,43,8892083
SAMPLE,clearance,source,verify,43,377583
SAMPLE,clearance,source,verify,44,17601000
SAMPLE,clearance,optimized,verify,44,2956167
SAMPLE,clearance,optimized,verify,45,6926416
SAMPLE,clearance,source,verify,45,393084
SAMPLE,clearance,source,verify,46,366875
