META,session=session-01,warmups=20,repeats=200,order=alternating,consumer_verifier=true
VERIFY_SWEEP,session-01,admission,expiry-none,source,176,1497073
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,176,1259695
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,177,1186196
VERIFY_SWEEP,session-01,admission,expiry-none,source,177,1498925
VERIFY_SWEEP,session-01,admission,expiry-none,source,178,1487093
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,178,1163473
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,179,1099202
VERIFY_SWEEP,session-01,admission,expiry-none,source,179,1498896
VERIFY_SWEEP,session-01,admission,expiry-none,source,180,1491011
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,180,1160128
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,181,1170887
VERIFY_SWEEP,session-01,admission,expiry-none,source,181,1537037
VERIFY_SWEEP,session-01,admission,expiry-none,source,182,1502784
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,182,1154186
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,183,1145350
VERIFY_SWEEP,session-01,admission,expiry-none,source,183,1517691
VERIFY_SWEEP,session-01,admission,expiry-none,source,184,1485090
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,184,1167281
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,185,1161850
VERIFY_SWEEP,session-01,admission,expiry-none,source,185,1526788
VERIFY_SWEEP,session-01,admission,expiry-none,source,186,1466635
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,186,1163894
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,187,1123999
VERIFY_SWEEP,session-01,admission,expiry-none,source,187,1531167
VERIFY_SWEEP,session-01,admission,expiry-none,source,188,1537369
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,188,1107036
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,189,1118579
VERIFY_SWEEP,session-01,admission,expiry-none,source,189,1469250
VERIFY_SWEEP,session-01,admission,expiry-none,source,190,1455134
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,190,1148906
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,191,1143836
VERIFY_SWEEP,session-01,admission,expiry-none,source,191,1509315
VERIFY_SWEEP,session-01,admission,expiry-none,source,192,1498625
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,192,1161310
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,193,1157141
VERIFY_SWEEP,session-01,admission,expiry-none,source,193,1496421
VERIFY_SWEEP,session-01,admission,expiry-none,source,194,1492965
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,194,1158925
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,195,1140260
VERIFY_SWEEP,session-01,admission,expiry-none,source,195,1539792
VERIFY_SWEEP,session-01,admission,expiry-none,source,196,1498215
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,196,1150669
